Notes	2013 Urbanization	2013 Urbanization Code	Infant Age Groups	Infant Age Groups Code	UCD - ICD-10 130 Cause List (Infants)	UCD - ICD-10 130 Cause List (Infants) Code	Deaths	Population	Crude Rate
	Large Central Metro	1	28-364 days	28-364d	Disorders related to length of gestation and fetal malnutrition (P05-P08)	GR130-086	768	22969673	0
	Large Central Metro	1	28-364 days	28-364d	#Slow fetal growth and fetal malnutrition (P05)	GR130-087	63	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"#Disorders related to short gestation and low birth weight, not elsewhere classified (P07)"	GR130-088	705	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Extremely low birth weight or extreme immaturity (P07.0,P07.2)"	GR130-089	400	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Other low birth weight or preterm (P07.1,P07.3)"	GR130-090	305	22969673	0
	Large Central Metro	1	28-364 days	28-364d	#Birth trauma (P10-P15)	GR130-092	21	22969673	0
	Large Central Metro	1	28-364 days	28-364d	#Intrauterine hypoxia and birth asphyxia (P20-P21)	GR130-093	154	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Intrauterine hypoxia (P20)	GR130-094	20	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Birth asphyxia (P21)	GR130-095	134	22969673	0
	Large Central Metro	1	28-364 days	28-364d	#Respiratory distress of newborn (P22)	GR130-096	177	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Other respiratory conditions originating in the perinatal period (P23-P28)	GR130-097	1362	22969673	0.1
	Large Central Metro	1	28-364 days	28-364d	#Congenital pneumonia (P23)	GR130-098	49	22969673	0
	Large Central Metro	1	28-364 days	28-364d	#Neonatal aspiration syndromes (P24)	GR130-099	24	22969673	0
	Large Central Metro	1	28-364 days	28-364d	#Interstitial emphysema and related conditions originating in the perinatal period (P25)	GR130-100	22	22969673	0
	Large Central Metro	1	28-364 days	28-364d	#Pulmonary hemorrhage originating in the perinatal period (P26)	GR130-101	10	22969673	Unreliable
	Large Central Metro	1	28-364 days	28-364d	#Chronic respiratory disease originating in the perinatal period (P27)	GR130-102	1165	22969673	0.1
	Large Central Metro	1	28-364 days	28-364d	#Atelectasis (P28.0-P28.1)	GR130-103	61	22969673	0
	Large Central Metro	1	28-364 days	28-364d	All other respiratory conditions originating in the perinatal period (P28.2-P28.9)	GR130-104	31	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Infections specific to the perinatal period (P35-P39)	GR130-105	349	22969673	0
	Large Central Metro	1	28-364 days	28-364d	#Bacterial sepsis of newborn (P36)	GR130-106	202	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"All other infections specific to the perinatal period (P35,P37,P39)"	GR130-108	147	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Hemorrhagic and hematological disorders of newborn (P50-P61)	GR130-109	87	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"#Neonatal hemorrhage (P50-P52,P54)"	GR130-110	69	22969673	0
	Large Central Metro	1	28-364 days	28-364d	#Hematological disorders (P60-P61)	GR130-113	10	22969673	Unreliable
	Large Central Metro	1	28-364 days	28-364d	#Necrotizing enterocolitis of newborn (P77)	GR130-115	362	22969673	0
	Large Central Metro	1	28-364 days	28-364d	#Hydrops fetalis not due to hemolytic disease (P83.2)	GR130-116	45	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)"	GR130-117	308	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	GR130-118	8899	22969673	0.4
	Large Central Metro	1	28-364 days	28-364d	Anencephaly and similar malformations (Q00)	GR130-119	25	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Congenital hydrocephalus (Q03)	GR130-120	211	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Spina bifida (Q05)	GR130-121	20	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)"	GR130-122	700	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Congenital malformations of heart (Q20-Q24)	GR130-123	3619	22969673	0.2
	Large Central Metro	1	28-364 days	28-364d	Other congenital malformations of circulatory system (Q25-Q28)	GR130-124	438	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Congenital malformations of respiratory system (Q30-Q34)	GR130-125	280	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Congenital malformations of digestive system (Q35-Q45)	GR130-126	313	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Congenital malformations of genitourinary system (Q50-Q64)	GR130-127	151	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)"	GR130-128	763	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Down's syndrome (Q90)	GR130-129	248	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Edward's syndrome (Q91.0-Q91.3)	GR130-130	794	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Patau's syndrome (Q91.4-Q91.7)	GR130-131	289	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)"	GR130-132	723	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)"	GR130-133	325	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	GR130-134	14440	22969673	0.6
	Large Central Metro	1	28-364 days	28-364d	#Sudden infant death syndrome (R95)	GR130-135	8746	22969673	0.4
	Large Central Metro	1	28-364 days	28-364d	"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)"	GR130-136	5694	22969673	0.2
	Large Central Metro	1	28-364 days	28-364d	"All other diseases (F00-F99,H00-H57,L00-M99)"	GR130-137	75	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"External causes of mortality (*U01,V01-Y84)"	GR130-138	6492	22969673	0.3
	Large Central Metro	1	28-364 days	28-364d	#Accidents (unintentional injuries) (V01-X59)	GR130-139	4450	22969673	0.2
	Large Central Metro	1	28-364 days	28-364d	Transport accidents (V01-V99)	GR130-140	415	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	GR130-141	405	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Other and unspecified transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9,V90-V99)"	GR130-142	10	22969673	Unreliable
	Large Central Metro	1	28-364 days	28-364d	Falls (W00-W19)	GR130-143	67	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Accidental drowning and submersion (W65-W74)	GR130-145	227	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Accidental suffocation and strangulation in bed (W75)	GR130-146	2479	22969673	0.1
	Large Central Metro	1	28-364 days	28-364d	"Other accidental suffocation and strangulation (W76-W77,W81-W84)"	GR130-147	714	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80)	GR130-148	211	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Accidents caused by exposure to smoke, fire and flames (X00-X09)"	GR130-149	107	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Accidental poisoning and exposure to noxious substances (X40-X49)	GR130-150	40	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)"	GR130-151	187	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"#Assault (homicide) (*U01,X85-Y09)"	GR130-152	1556	22969673	0.1
	Large Central Metro	1	28-364 days	28-364d	"Assault (homicide) by hanging, strangulation and suffocation (X91)"	GR130-153	92	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	GR130-154	52	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)"	GR130-155	489	22969673	0
	Large Central Metro	1	28-364 days	28-364d	"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)"	GR130-156	923	22969673	0
	Large Central Metro	1	28-364 days	28-364d	#Complications of medical and surgical care (Y40-Y84)	GR130-157	75	22969673	0
	Large Central Metro	1	28-364 days	28-364d	Other external causes (Y10-Y36)	GR130-158	411	22969673	0
	Large Fringe Metro	2	< 1 day	1d	Certain infectious and parasitic diseases (A00-B99)	GR130-001	11	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	Neoplasms (C00-D48)	GR130-023	55	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Malignant neoplasms (C00-C97)	GR130-024	12	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)"	GR130-027	10	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR130-028	43	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)	GR130-029	17	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	"Endocrine, nutritional and metabolic diseases (E00-E88)"	GR130-033	56	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"#Short stature, not elsewhere classified (E34.3)"	GR130-034	26	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"#Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)"	GR130-037	20	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Diseases of the nervous system (G00-G98)	GR130-039	33	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)"	GR130-044	31	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Diseases of the circulatory system (I00-I99)	GR130-046	127	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Pulmonary heart disease and diseases of pulmonary circulation (I26-I28)	GR130-047	38	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Cardiomyopathy (I42)	GR130-049	30	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)"	GR130-052	48	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"Diseases of the respiratory system (J00-J98,U04)"	GR130-053	22	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)"	GR130-062	19	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	Diseases of the digestive system (K00-K92)	GR130-063	68	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"#Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)"	GR130-065	54	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)"	GR130-066	13	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	Diseases of the genitourinary system (N00-N95)	GR130-067	26	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)"	GR130-069	22	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Certain conditions originating in the perinatal period (P00-P96)	GR130-070	31659	16098751	2
	Large Fringe Metro	2	< 1 day	1d	"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)"	GR130-071	9968	16098751	0.6
	Large Fringe Metro	2	< 1 day	1d	#Newborn affected by maternal hypertensive disorders (P00.0)	GR130-072	208	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9)	GR130-073	182	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Newborn affected by maternal complications of pregnancy (P01)	GR130-074	5842	16098751	0.4
	Large Fringe Metro	2	< 1 day	1d	Newborn affected by incompetent cervix (P01.0)	GR130-075	1766	16098751	0.1
	Large Fringe Metro	2	< 1 day	1d	Newborn affected by premature rupture of membranes (P01.1)	GR130-076	2784	16098751	0.2
	Large Fringe Metro	2	< 1 day	1d	Newborn affected by multiple pregnancy (P01.5)	GR130-077	690	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)"	GR130-078	602	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"#Newborn affected by complications of placenta, cord and membranes (P02)"	GR130-079	3271	16098751	0.2
	Large Fringe Metro	2	< 1 day	1d	Newborn affected by complications involving placenta (P02.0-P02.3)	GR130-080	1415	16098751	0.1
	Large Fringe Metro	2	< 1 day	1d	Newborn affected by complications involving cord (P02.4-P02.6)	GR130-081	114	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Newborn affected by chorioamnionitis (P02.7)	GR130-082	1737	16098751	0.1
	Large Fringe Metro	2	< 1 day	1d	#Newborn affected by other complications of labor and delivery (P03)	GR130-084	387	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Newborn affected by noxious influences transmitted via placenta or breast milk (P04)	GR130-085	78	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Disorders related to length of gestation and fetal malnutrition (P05-P08)	GR130-086	14918	16098751	0.9
	Large Fringe Metro	2	< 1 day	1d	#Slow fetal growth and fetal malnutrition (P05)	GR130-087	132	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"#Disorders related to short gestation and low birth weight, not elsewhere classified (P07)"	GR130-088	14786	16098751	0.9
	Large Fringe Metro	2	< 1 day	1d	"Extremely low birth weight or extreme immaturity (P07.0,P07.2)"	GR130-089	11065	16098751	0.7
	Large Fringe Metro	2	< 1 day	1d	"Other low birth weight or preterm (P07.1,P07.3)"	GR130-090	3721	16098751	0.2
	Large Fringe Metro	2	< 1 day	1d	#Birth trauma (P10-P15)	GR130-092	15	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	#Intrauterine hypoxia and birth asphyxia (P20-P21)	GR130-093	519	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Intrauterine hypoxia (P20)	GR130-094	148	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Birth asphyxia (P21)	GR130-095	371	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Respiratory distress of newborn (P22)	GR130-096	918	16098751	0.1
	Large Fringe Metro	2	< 1 day	1d	Other respiratory conditions originating in the perinatal period (P23-P28)	GR130-097	1345	16098751	0.1
	Large Fringe Metro	2	< 1 day	1d	#Congenital pneumonia (P23)	GR130-098	30	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Neonatal aspiration syndromes (P24)	GR130-099	81	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Interstitial emphysema and related conditions originating in the perinatal period (P25)	GR130-100	160	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Pulmonary hemorrhage originating in the perinatal period (P26)	GR130-101	62	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Atelectasis (P28.0-P28.1)	GR130-103	894	16098751	0.1
	Large Fringe Metro	2	< 1 day	1d	All other respiratory conditions originating in the perinatal period (P28.2-P28.9)	GR130-104	113	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Infections specific to the perinatal period (P35-P39)	GR130-105	676	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Bacterial sepsis of newborn (P36)	GR130-106	492	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"All other infections specific to the perinatal period (P35,P37,P39)"	GR130-108	181	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Hemorrhagic and hematological disorders of newborn (P50-P61)	GR130-109	332	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"#Neonatal hemorrhage (P50-P52,P54)"	GR130-110	207	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59)	GR130-112	16	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	#Hematological disorders (P60-P61)	GR130-113	109	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2)	GR130-114	18	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	#Hydrops fetalis not due to hemolytic disease (P83.2)	GR130-116	415	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)"	GR130-117	2529	16098751	0.2
	Large Fringe Metro	2	< 1 day	1d	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	GR130-118	7075	16098751	0.4
	Large Fringe Metro	2	< 1 day	1d	Anencephaly and similar malformations (Q00)	GR130-119	833	16098751	0.1
	Large Fringe Metro	2	< 1 day	1d	Congenital hydrocephalus (Q03)	GR130-120	101	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Spina bifida (Q05)	GR130-121	45	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)"	GR130-122	290	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Congenital malformations of heart (Q20-Q24)	GR130-123	521	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Other congenital malformations of circulatory system (Q25-Q28)	GR130-124	43	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Congenital malformations of respiratory system (Q30-Q34)	GR130-125	1060	16098751	0.1
	Large Fringe Metro	2	< 1 day	1d	Congenital malformations of digestive system (Q35-Q45)	GR130-126	36	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Congenital malformations of genitourinary system (Q50-Q64)	GR130-127	1005	16098751	0.1
	Large Fringe Metro	2	< 1 day	1d	"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)"	GR130-128	758	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Down's syndrome (Q90)	GR130-129	145	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Edward's syndrome (Q91.0-Q91.3)	GR130-130	579	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Patau's syndrome (Q91.4-Q91.7)	GR130-131	367	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)"	GR130-132	1081	16098751	0.1
	Large Fringe Metro	2	< 1 day	1d	"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)"	GR130-133	211	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	GR130-134	279	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Sudden infant death syndrome (R95)	GR130-135	24	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)"	GR130-136	255	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"All other diseases (F00-F99,H00-H57,L00-M99)"	GR130-137	12	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	"External causes of mortality (*U01,V01-Y84)"	GR130-138	100	16098751	0
	Large Fringe Metro	2	< 1 day	1d	#Accidents (unintentional injuries) (V01-X59)	GR130-139	34	16098751	0
	Large Fringe Metro	2	< 1 day	1d	Transport accidents (V01-V99)	GR130-140	15	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	GR130-141	15	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	"#Assault (homicide) (*U01,X85-Y09)"	GR130-152	55	16098751	0
	Large Fringe Metro	2	< 1 day	1d	"Assault (homicide) by hanging, strangulation and suffocation (X91)"	GR130-153	12	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)"	GR130-155	14	16098751	Unreliable
	Large Fringe Metro	2	< 1 day	1d	"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)"	GR130-156	28	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Certain infectious and parasitic diseases (A00-B99)	GR130-001	17	16098751	Unreliable
	Large Fringe Metro	2	1-6 days	1-6d	Neoplasms (C00-D48)	GR130-023	37	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR130-028	29	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	#Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)	GR130-029	59	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76)	GR130-031	51	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"Endocrine, nutritional and metabolic diseases (E00-E88)"	GR130-033	176	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"#Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)"	GR130-037	68	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)"	GR130-038	104	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Diseases of the nervous system (G00-G98)	GR130-039	79	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"#Meningitis (G00,G03)"	GR130-040	11	16098751	Unreliable
	Large Fringe Metro	2	1-6 days	1-6d	"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)"	GR130-044	65	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	#Diseases of the circulatory system (I00-I99)	GR130-046	185	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Pulmonary heart disease and diseases of pulmonary circulation (I26-I28)	GR130-047	61	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Cardiomyopathy (I42)	GR130-049	43	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Cerebrovascular diseases (I60-I69)	GR130-051	17	16098751	Unreliable
	Large Fringe Metro	2	1-6 days	1-6d	"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)"	GR130-052	64	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"Diseases of the respiratory system (J00-J98,U04)"	GR130-053	28	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)"	GR130-062	19	16098751	Unreliable
	Large Fringe Metro	2	1-6 days	1-6d	Diseases of the digestive system (K00-K92)	GR130-063	47	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)"	GR130-064	17	16098751	Unreliable
	Large Fringe Metro	2	1-6 days	1-6d	"#Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)"	GR130-065	17	16098751	Unreliable
	Large Fringe Metro	2	1-6 days	1-6d	"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)"	GR130-066	13	16098751	Unreliable
	Large Fringe Metro	2	1-6 days	1-6d	Diseases of the genitourinary system (N00-N95)	GR130-067	93	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"#Renal failure and other disorders of kidney (N17-N19,N25,N27)"	GR130-068	89	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Certain conditions originating in the perinatal period (P00-P96)	GR130-070	8066	16098751	0.5
	Large Fringe Metro	2	1-6 days	1-6d	"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)"	GR130-071	767	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	#Newborn affected by maternal hypertensive disorders (P00.0)	GR130-072	29	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	#Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9)	GR130-073	50	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	#Newborn affected by maternal complications of pregnancy (P01)	GR130-074	285	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Newborn affected by incompetent cervix (P01.0)	GR130-075	28	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Newborn affected by premature rupture of membranes (P01.1)	GR130-076	136	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Newborn affected by multiple pregnancy (P01.5)	GR130-077	63	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)"	GR130-078	58	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"#Newborn affected by complications of placenta, cord and membranes (P02)"	GR130-079	342	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Newborn affected by complications involving placenta (P02.0-P02.3)	GR130-080	238	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Newborn affected by complications involving cord (P02.4-P02.6)	GR130-081	36	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Newborn affected by chorioamnionitis (P02.7)	GR130-082	68	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	#Newborn affected by other complications of labor and delivery (P03)	GR130-084	49	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	#Newborn affected by noxious influences transmitted via placenta or breast milk (P04)	GR130-085	12	16098751	Unreliable
	Large Fringe Metro	2	1-6 days	1-6d	Disorders related to length of gestation and fetal malnutrition (P05-P08)	GR130-086	1129	16098751	0.1
	Large Fringe Metro	2	1-6 days	1-6d	#Slow fetal growth and fetal malnutrition (P05)	GR130-087	112	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	"#Disorders related to short gestation and low birth weight, not elsewhere classified (P07)"	GR130-088	1017	16098751	0.1
	Large Fringe Metro	2	1-6 days	1-6d	"Extremely low birth weight or extreme immaturity (P07.0,P07.2)"	GR130-089	886	16098751	0.1
	Large Fringe Metro	2	1-6 days	1-6d	"Other low birth weight or preterm (P07.1,P07.3)"	GR130-090	131	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	#Birth trauma (P10-P15)	GR130-092	76	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	#Intrauterine hypoxia and birth asphyxia (P20-P21)	GR130-093	577	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Intrauterine hypoxia (P20)	GR130-094	188	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	Birth asphyxia (P21)	GR130-095	389	16098751	0
	Large Fringe Metro	2	1-6 days	1-6d	#Respiratory distress of newborn (P22)	GR130-096	1115	16098751	0.1
